,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
114,0.285,100000,2.85E-06,2.78E-06,3,0.03,0.5,6,20,0.1,4
115,0.2875,100000,2.88E-06,2.81E-06,1,0.03,0.5,2,20,0.1,4
116,0.29,100000,2.90E-06,2.83E-06,5,0.03,0.5,10,20,0.1,4
117,0.2925,100000,2.93E-06,2.86E-06,7,0.03,0.5,14,20,0.1,4
118,0.295,100000,2.95E-06,2.88E-06,5,0.03,0.5,10,20,0.1,4
119,0.2975,100000,2.98E-06,2.91E-06,7,0.03,0.5,14,20,0.1,4
120,0.3,100000,3.00E-06,2.93E-06,8,0.03,0.5,16,20,0.1,4
121,0.3025,100000,3.03E-06,2.96E-06,10,0.03,0.5,20,20,0.1,4
122,0.305,100000,3.05E-06,2.98E-06,16,0.03,0.5,32,20,0.1,4
123,0.3075,100000,3.08E-06,3.01E-06,28,0.03,0.5,56,20,0.1,4
124,0.31,100000,3.10E-06,3.03E-06,36,0.03,0.5,72,20,0.1,4
125,0.3125,100000,3.13E-06,3.06E-06,67,0.03,0.5,134,20,0.1,4
126,0.315,100000,3.15E-06,3.08E-06,115,0.03,0.5,230,20,0.1,4
127,0.3175,100000,3.18E-06,3.11E-06,148,0.03,0.5,296,20,0.1,4
128,0.32,100000,3.20E-06,3.13E-06,232,0.03,0.5,464,20,0.1,4
129,0.3225,100000,3.23E-06,3.16E-06,392,0.03,0.5,784,20,0.1,4
130,0.325,100000,3.25E-06,3.18E-06,620,0.03,0.5,1240,20,0.1,4
131,0.3275,100000,3.28E-06,3.21E-06,963,0.03,0.5,1926,20,0.1,4
132,0.33,100000,3.30E-06,3.23E-06,1471,0.03,0.5,2942,20,0.1,4
133,0.3325,100000,3.33E-06,3.26E-06,2019,0.03,0.5,4038,20,0.1,4
134,0.335,100000,3.35E-06,3.28E-06,2934,0.03,0.5,5868,20,0.1,4
135,0.3375,100000,3.38E-06,3.31E-06,3841,0.03,0.5,7682,20,0.1,4
136,0.34,100000,3.40E-06,3.33E-06,5466,0.03,0.5,10932,20,0.1,4
137,0.3425,100000,3.43E-06,3.36E-06,6859,0.03,0.5,13718,20,0.1,4
138,0.345,100000,3.45E-06,3.38E-06,9052,0.03,0.5,18104,20,0.1,4
139,0.3475,100000,3.48E-06,3.41E-06,10859,0.03,0.5,21718,20,0.1,4
140,0.35,100000,3.50E-06,3.43E-06,13917,0.03,0.5,27834,20,0.1,4
141,0.3525,100000,3.53E-06,3.46E-06,16082,0.03,0.5,32164,20,0.1,4
142,0.355,100000,3.55E-06,3.48E-06,19614,0.03,0.5,39228,20,0.1,4
