Temperature (K),Channel 1 Resistance,Channel 1 Current (uA)
2.509024,1767.015015,0.000625
2.517603,1679.188965,0.000625
2.524417,1735.988281,0.000625
2.531395,1736.465088,0.000625
2.543077,1848.633423,0.000625
2.549889,1799.472168,0.000625
2.558708,1827.155151,0.000625
2.565491,1864.863403,0.000625
2.572123,1947.438477,0.000625
2.583757,1863.909790,0.000625
2.59245,1896.843872,0.000625
2.598943,1917.368408,0.000625
2.605781,1920.229370,0.000625
2.618357,1871.068237,0.000625
2.626667,1999.943359,0.000625
2.633571,2014.260254,0.000625
2.639919,1972.257446,0.000625
2.652153,1977.988403,0.000625
2.659137,1955.076660,0.000625
2.667429,1984.669922,0.000625
2.674588,1897.320679,0.000625
2.681252,2068.198486,0.000625
2.692902,1965.096069,0.000625
2.701305,2051.968506,0.000625
2.708366,1998.989746,0.000625
2.714985,2016.170532,0.000625
2.726823,2040.035767,0.000625
2.736007,2051.014893,0.000625
2.742374,2049.104492,0.000625
2.748781,2009.488892,0.000625
2.760912,2057.219482,0.000625
2.767429,2098.745605,0.000625
2.776061,2051.968506,0.000625
2.783049,2038.125488,0.000625
2.790291,2093.971191,0.000625
2.801792,2006.625000,0.000625
2.811015,2079.174561,0.000625
2.817385,2094.927979,0.000625
2.824299,2177.026123,0.000625
2.835332,2129.295410,0.000625
2.844242,2102.086182,0.000625
2.851631,2064.857910,0.000625
2.857901,2154.591309,0.000625
2.869767,2092.063965,0.000625
2.878783,2084.425781,0.000625
2.885084,2119.746826,0.000625
2.892042,2110.678223,0.000625
2.899073,2097.314941,0.000625
2.910537,2188.005127,0.000625
2.919344,2211.870361,0.000625
2.926383,2089.676758,0.000625
2.933083,2134.546387,0.000625
2.944497,2140.751221,0.000625
2.953393,2209.006348,0.000625
2.960441,2199.936279,0.000625
2.96687,2074.881592,0.000625
2.978775,2280.125488,0.000625
2.987343,1968.918091,0.000625
2.994403,2168.434082,0.000625
3.000695,2497.779053,0.000625
3.007604,2638.588379,0.000625
3.01963,2168.432617,0.000625
3.028493,2129.770752,0.000625
3.034981,2035.264526,0.000625
3.041951,2087.292725,0.000625
3.053768,2714.004883,0.000625
3.062326,2250.533936,0.000625
3.068813,2430.000732,0.000625
3.075925,2149.341553,0.000625
3.087615,2837.150635,0.000625
3.096333,2361.746826,0.000625
3.103172,2158.888672,0.000625
3.10977,3088.693359,0.000625
3.116554,2587.990723,0.000625
3.128519,2747.891113,0.000625
3.13723,2910.655518,0.000625
3.144092,2819.967041,0.000625
3.151067,2048.627686,0.000625
3.162415,3465.773193,0.000625
3.17118,3173.655518,0.000625
3.177894,3486.296387,0.000625
3.18476,3732.589355,0.000625
3.196515,3910.148926,0.000625
3.205315,2838.104248,0.000625
3.212008,3653.833496,0.000625
3.218876,3043.825195,0.000625
3.230633,3234.275391,0.000625
3.237542,3651.446289,0.000625
3.245922,3278.663818,0.000625
3.253204,3693.927490,0.000625
3.259238,3753.590820,0.000625
3.271409,4030.908936,0.000625
3.279554,4576.481445,0.000625
3.287031,4069.095703,0.000625
3.294293,4461.447754,0.000625
3.305386,4060.980469,0.000625
3.314176,4502.495117,0.000625
3.32086,4186.993164,0.000625
3.327566,4901.531738,0.000625
3.339569,4161.216309,0.000625
3.346147,4663.350586,0.000625
3.354792,3911.582275,0.000625
3.361768,4634.710938,0.000625
3.368529,4798.432129,0.000625
3.380388,4668.123535,0.000625
3.388717,4838.049316,0.000625
3.395855,4957.374512,0.000625
3.40266,5588.860840,0.000625
3.414265,5819.403809,0.000625
3.423243,6374.042969,0.000625
3.429824,7325.802734,0.000625
3.436961,8260.381836,0.000625
3.443387,9305.221680,0.000625
3.455129,11039.300781,0.000625
3.463847,12402.506836,0.000625
3.470763,15309.823242,0.000625
3.477321,18371.789063,0.000625
3.489003,22846.601563,0.000625
3.497587,29832.082031,0.000625
3.50469,40125.339844,0.000625
3.51168,55413.691406,0.000625
3.523796,77119.507813,0.000625
3.531989,105107.484375,0.000625
3.538991,143814.296875,0.000625
3.54589,193080.953125,0.000625
3.556941,249670.171875,0.000625
3.564029,324916.875000,0.000625
3.572422,402804.156250,0.000625
3.579612,496849.562500,0.000625
3.586813,596582.937500,0.000625
3.598375,695271.687500,0.000625
3.606886,797483.875000,0.000625
3.61379,893701.500000,0.000625
3.620147,986966.125000,0.000625
3.631866,1080602.125000,0.000625
3.640993,1172259.875000,0.000625
3.647535,1248240.125000,0.000625
3.654394,1325235.875000,0.000625
3.666286,1398006.625000,0.000625
3.672974,1462275.750000,0.000625
3.681383,1517392.500000,0.000625
3.688703,1572425.875000,0.000625
3.694903,1622967.500000,0.000625
3.706931,1669615.000000,0.000625
3.715665,1713047.125000,0.000625
3.722402,1750136.250000,0.000625
3.72935,1789338.000000,0.000625
3.741354,1822034.875000,0.000625
3.749891,1854009.250000,0.000625
